algorithm,n,time
fourSum_cubic,2611,2.46303391456604

fourSum_cubic,2611,2.432965040206909

fourSum_cubic,3682,6.482113599777222

fourSum_cubic,3682,6.588260650634766

fourSum_cubic,3682,6.525458335876465

fourSum_cubic,3682,6.546084880828857

fourSum_cubic,3682,6.522106885910034

fourSum_cubic,5192,21.710902452468872

fourSum_cubic,5192,18.949939012527466

fourSum_cubic,5192,18.310404539108276

fourSum_cubic,5192,18.03565740585327

fourSum_cubic,5192,18.44304394721985

fourSum_hashmap,30,0.1349654197692871

fourSum_hashmap,30,0.12599968910217285

fourSum_hashmap,30,0.13900017738342285

fourSum_hashmap,30,0.125

fourSum_hashmap,30,0.14100074768066406

fourSum_hashmap,42,0.14099955558776855

fourSum_hashmap,42,0.1450023651123047

fourSum_hashmap,42,0.14400005340576172

fourSum_hashmap,42,0.12799692153930664

fourSum_hashmap,42,0.1419999599456787

fourSum_hashmap,59,0.14000153541564941

fourSum_hashmap,59,0.1400008201599121

fourSum_hashmap,59,0.1439979076385498

fourSum_hashmap,59,0.1420001983642578

fourSum_hashmap,59,0.12900018692016602

fourSum_hashmap,84,0.16000103950500488

fourSum_hashmap,84,0.15999889373779297

fourSum_hashmap,84,0.17600059509277344

fourSum_hashmap,84,0.1550002098083496

fourSum_hashmap,84,0.16099882125854492

fourSum_hashmap,118,0.17600274085998535

fourSum_hashmap,118,0.1569981575012207

fourSum_hashmap,118,0.15600061416625977

fourSum_hashmap,118,0.16199922561645508

fourSum_hashmap,118,0.17003273963928223

fourSum_hashmap,167,0.15796780586242676

fourSum_hashmap,167,0.15899991989135742

fourSum_hashmap,167,0.1730024814605713

fourSum_hashmap,167,0.17499971389770508

fourSum_hashmap,167,0.1600344181060791

fourSum_hashmap,235,0.17196440696716309

fourSum_hashmap,235,0.17299914360046387

fourSum_hashmap,235,0.17100071907043457

fourSum_hashmap,235,0.17699933052062988

fourSum_hashmap,235,0.17200636863708496

fourSum_hashmap,332,0.17199373245239258

fourSum_hashmap,332,0.17603349685668945

fourSum_hashmap,332,0.17600107192993164

fourSum_hashmap,332,0.1589670181274414

fourSum_hashmap,332,0.18999862670898438

fourSum_hashmap,468,0.20099830627441406

fourSum_hashmap,468,0.18597197532653809

fourSum_hashmap,468,0.202894926071167

fourSum_hashmap,468,0.17600035667419434

fourSum_hashmap,468,0.19185781478881836

fourSum_hashmap,660,0.20796418190002441

fourSum_hashmap,660,0.20500397682189941

fourSum_hashmap,660,0.20299768447875977

fourSum_hashmap,660,0.20199990272521973

fourSum_hashmap,660,0.20599770545959473

fourSum_hashmap,931,0.2669992446899414

fourSum_hashmap,931,0.2820003032684326

fourSum_hashmap,931,0.269000768661499

fourSum_hashmap,931,0.26903390884399414

fourSum_hashmap,931,0.28496384620666504

fourSum_hashmap,1313,0.43003320693969727

fourSum_hashmap,1313,0.3890361785888672

fourSum_hashmap,1313,0.40999889373779297

fourSum_hashmap,1313,0.4459996223449707

fourSum_hashmap,1313,0.46103477478027344

fourSum_hashmap,1852,0.8109631538391113

fourSum_hashmap,1852,0.767040491104126

fourSum_hashmap,1852,0.7180330753326416

fourSum_hashmap,1852,0.7839658260345459

fourSum_hashmap,1852,0.786998987197876

fourSum_hashmap,2611,1.3750004768371582

fourSum_hashmap,2611,1.374967336654663

fourSum_hashmap,2611,1.4470322132110596

fourSum_hashmap,2611,1.407999038696289

fourSum_hashmap,2611,1.4380292892456055

fourSum_hashmap,3682,2.7579104900360107

fourSum_hashmap,3682,2.7377634048461914

fourSum_hashmap,3682,2.6790032386779785

fourSum_hashmap,3682,2.818002462387085

fourSum_hashmap,3682,2.66196608543396

fourSum_hashmap,5192,6.426034212112427

fourSum_hashmap,5192,6.571489572525024

fourSum_hashmap,5192,6.348691701889038

fourSum_hashmap,5192,6.500967502593994

fourSum_hashmap,5192,6.497097969055176

fourSum_hashmap,7321,17.040707111358643

fourSum_hashmap,7321,15.868942260742188

fourSum_hashmap,7321,15.894210577011108

fourSum_hashmap,7321,16.832834243774414

fourSum_hashmap,7321,16.19711947441101

